area,isector,account_entry,transaction,instr_asset,ref_date,period,value,unit,unit_mult,prices,ref_year_price,activity,consolidation,note
"CZ","S1","C","P1","_Z","_Z","1991","5354318","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","5263621","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","5158780","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","5212648","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","5592880","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","5851700","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","6071530","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","6177785","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","6207859","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","6510927","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","6917239","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","7110790","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","7594445","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","8039903","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","8419149","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","9225762","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","9934290","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","10118909","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","9298076","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","9725227","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","9983549","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","9758838","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","9754077","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","10115629","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","10634751","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","10917190","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","11564120","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","12036291","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","12230196","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","11455584","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","12095775","CZK","6","L","2015","_T","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","334017","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1992","241934","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1993","233903","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1994","233313","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1995","223345","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1996","225784","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1997","215226","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1998","213749","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1999","213486","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2000","215471","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2001","216265","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2002","206233","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2003","209550","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2004","220485","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2005","224412","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2006","223557","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2007","214722","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2008","222776","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2009","236910","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2010","220998","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2011","237371","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2012","237501","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2013","239518","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2014","248589","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2015","263821","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2016","267504","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2017","261456","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2018","273296","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2019","288810","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2020","312312","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","2021","302178","CZK","6","L","2015","A","N","P.1c"
"CZ","S1","C","P1","_Z","_Z","1991","131381","CZK","6","L","2015","B","N","P.1c"
